experiment_id,target,condition,seed,run_id,artifact_root,source_git_sha,manifest_sha256,predictions_sha256,metrics_sha256,model,prediction_variant,metric,value,metric_status,n_endpoints,stored_metric_match
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,ridge,clipped,rmse,18.757302031911998,reconstructed,100,True
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,ridge,clipped,mae,14.426285007018455,reconstructed,100,True
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,ridge,clipped,signed_error,-1.3857142502156952,reconstructed,100,True
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,ridge,clipped,nasa_score,571.388059042254,reconstructed,100,True
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,hist_gradient_boosting,raw,rmse,17.7993505617479,reconstructed,100,PENDING
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,hist_gradient_boosting,raw,mae,14.006307245117574,reconstructed,100,PENDING
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,hist_gradient_boosting,raw,signed_error,-0.601513103812219,reconstructed,100,PENDING
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,hist_gradient_boosting,raw,nasa_score,447.0682201015349,reconstructed,100,PENDING
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,hist_gradient_boosting,clipped,rmse,16.408302836831606,reconstructed,100,True
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,hist_gradient_boosting,clipped,mae,12.936307245117574,reconstructed,100,True
