experiment_id,target,condition,seed,run_id,artifact_root,source_git_sha,manifest_sha256,predictions_sha256,metrics_sha256,model,alpha,metric,value,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_resamples,bootstrap_confidence_level,target_scale,n_endpoints,stored_metric_match,n_cal,requested_rank_min,requested_rank_max,effective_rank_min,effective_rank_max,finite_rank_attainable_fraction,unattainable_rank_fraction,quantile_regime,unattainable_rank_policy,n_distinct_quantiles
C02,FD001,primary,13,C02_319975dc35d2_seed_13,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,173c7c6015ef10ccac339fcd5466a29de1f7adf67a7ef554e967c34bfe8fa28e,70a7464b894a3de7480f56e482d78f1969cf2696d9e85f126e85e2f0febe957e,1ae8580aa20bde21a30a4dc92458ea89f9e85d1c8750ea6b112888e5b8f5bf5b,ridge,0.05,mean_width,77.85108885138072,77.85108885138072,77.85108885138072,2000,0.95,125.0,100,True,20,20,20,20,20,1.0,0.0,max_statistic,finite_observed_order_statistic,1
C02,FD001,primary,13,C02_319975dc35d2_seed_13,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,173c7c6015ef10ccac339fcd5466a29de1f7adf67a7ef554e967c34bfe8fa28e,70a7464b894a3de7480f56e482d78f1969cf2696d9e85f126e85e2f0febe957e,1ae8580aa20bde21a30a4dc92458ea89f9e85d1c8750ea6b112888e5b8f5bf5b,ridge,0.05,normalized_interval_score,0.7472880694438494,0.6385618375191167,0.8971825051824998,2000,0.95,125.0,100,True,20,20,20,20,20,1.0,0.0,max_statistic,finite_observed_order_statistic,1
C02,FD001,primary,13,C02_319975dc35d2_seed_13,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,173c7c6015ef10ccac339fcd5466a29de1f7adf67a7ef554e967c34bfe8fa28e,70a7464b894a3de7480f56e482d78f1969cf2696d9e85f126e85e2f0febe957e,1ae8580aa20bde21a30a4dc92458ea89f9e85d1c8750ea6b112888e5b8f5bf5b,hist_gradient_boosting,0.1,coverage,0.99,0.97,1.0,2000,0.95,125.0,100,True,20,19,19,19,19,1.0,0.0,interior,finite_observed_order_statistic,1
C02,FD001,primary,13,C02_319975dc35d2_seed_13,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,173c7c6015ef10ccac339fcd5466a29de1f7adf67a7ef554e967c34bfe8fa28e,70a7464b894a3de7480f56e482d78f1969cf2696d9e85f126e85e2f0febe957e,1ae8580aa20bde21a30a4dc92458ea89f9e85d1c8750ea6b112888e5b8f5bf5b,hist_gradient_boosting,0.1,mean_width,79.68830959567983,79.68830959567983,79.68830959567983,2000,0.95,125.0,100,True,20,19,19,19,19,1.0,0.0,interior,finite_observed_order_statistic,1
C02,FD001,primary,13,C02_319975dc35d2_seed_13,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,173c7c6015ef10ccac339fcd5466a29de1f7adf67a7ef554e967c34bfe8fa28e,70a7464b894a3de7480f56e482d78f1969cf2696d9e85f126e85e2f0febe957e,1ae8580aa20bde21a30a4dc92458ea89f9e85d1c8750ea6b112888e5b8f5bf5b,hist_gradient_boosting,0.1,normalized_interval_score,0.6559211561653021,0.6375064767654386,0.6927505149650292,2000,0.95,125.0,100,True,20,19,19,19,19,1.0,0.0,interior,finite_observed_order_statistic,1
C02,FD001,primary,13,C02_319975dc35d2_seed_13,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,173c7c6015ef10ccac339fcd5466a29de1f7adf67a7ef554e967c34bfe8fa28e,70a7464b894a3de7480f56e482d78f1969cf2696d9e85f126e85e2f0febe957e,1ae8580aa20bde21a30a4dc92458ea89f9e85d1c8750ea6b112888e5b8f5bf5b,hist_gradient_boosting,0.05,coverage,0.99,0.97,1.0,2000,0.95,125.0,100,True,20,20,20,20,20,1.0,0.0,max_statistic,finite_observed_order_statistic,1
C02,FD001,primary,13,C02_319975dc35d2_seed_13,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,173c7c6015ef10ccac339fcd5466a29de1f7adf67a7ef554e967c34bfe8fa28e,70a7464b894a3de7480f56e482d78f1969cf2696d9e85f126e85e2f0febe957e,1ae8580aa20bde21a30a4dc92458ea89f9e85d1c8750ea6b112888e5b8f5bf5b,hist_gradient_boosting,0.05,mean_width,82.05425848498331,82.0542584849833,82.05425848498331,2000,0.95,125.0,100,True,20,20,20,20,20,1.0,0.0,max_statistic,finite_observed_order_statistic,1
C02,FD001,primary,13,C02_319975dc35d2_seed_13,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,173c7c6015ef10ccac339fcd5466a29de1f7adf67a7ef554e967c34bfe8fa28e,70a7464b894a3de7480f56e482d78f1969cf2696d9e85f126e85e2f0febe957e,1ae8580aa20bde21a30a4dc92458ea89f9e85d1c8750ea6b112888e5b8f5bf5b,hist_gradient_boosting,0.05,normalized_interval_score,0.6894779084567075,0.6564340678798665,0.7555655896103904,2000,0.95,125.0,100,True,20,20,20,20,20,1.0,0.0,max_statistic,finite_observed_order_statistic,1
C02,FD001,primary,37,C02_319975dc35d2_seed_37,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,536c1461374bad8862ab1d77b3e674813d9dbb273d08748a9a6f617ca477a771,f5b5f73097f0a2ac483a61053269a371a64483c489b1d52c97f5eaa8b2b5286b,23275cff27eb5b512c01f0a49522c5bc1e4e3bdce4bd30f305eb4f9f47f1dcbc,mean,0.1,coverage,0.81,0.73,0.88,2000,0.95,125.0,100,True,20,19,19,19,19,1.0,0.0,interior,finite_observed_order_statistic,1
C02,FD001,primary,37,C02_319975dc35d2_seed_37,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,536c1461374bad8862ab1d77b3e674813d9dbb273d08748a9a6f617ca477a771,f5b5f73097f0a2ac483a61053269a371a64483c489b1d52c97f5eaa8b2b5286b,23275cff27eb5b512c01f0a49522c5bc1e4e3bdce4bd30f305eb4f9f47f1dcbc,mean,0.1,mean_width,122.96426869938068,122.96426869938068,122.96426869938068,2000,0.95,125.0,100,True,20,19,19,19,19,1.0,0.0,interior,finite_observed_order_statistic,1
C02,FD001,primary,37,C02_319975dc35d2_seed_37,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,536c1461374bad8862ab1d77b3e674813d9dbb273d08748a9a6f617ca477a771,f5b5f73097f0a2ac483a61053269a371a64483c489b1d52c97f5eaa8b2b5286b,23275cff27eb5b512c01f0a49522c5bc1e4e3bdce4bd30f305eb4f9f47f1dcbc,mean,0.1,normalized_interval_score,1.3325141495950454,1.1884741495950455,1.4973541495950446,2000,0.95,125.0,100,True,20,19,19,19,19,1.0,0.0,interior,finite_observed_order_statistic,1
C02,FD001,primary,37,C02_319975dc35d2_seed_37,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,536c1461374bad8862ab1d77b3e674813d9dbb273d08748a9a6f617ca477a771,f5b5f73097f0a2ac483a61053269a371a64483c489b1d52c97f5eaa8b2b5286b,23275cff27eb5b512c01f0a49522c5bc1e4e3bdce4bd30f305eb4f9f47f1dcbc,mean,0.05,coverage,0.81,0.73,0.88,2000,0.95,125.0,100,True,20,20,20,20,20,1.0,0.0,max_statistic,finite_observed_order_statistic,1
C02,FD001,primary,37,C02_319975dc35d2_seed_37,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,536c1461374bad8862ab1d77b3e674813d9dbb273d08748a9a6f617ca477a771,f5b5f73097f0a2ac483a61053269a371a64483c489b1d52c97f5eaa8b2b5286b,23275cff27eb5b512c01f0a49522c5bc1e4e3bdce4bd30f305eb4f9f47f1dcbc,mean,0.05,mean_width,126.96426869938068,126.96426869938068,126.96426869938068,2000,0.95,125.0,100,True,20,20,20,20,20,1.0,0.0,max_statistic,finite_observed_order_statistic,1
C02,FD001,primary,37,C02_319975dc35d2_seed_37,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,536c1461374bad8862ab1d77b3e674813d9dbb273d08748a9a6f617ca477a771,f5b5f73097f0a2ac483a61053269a371a64483c489b1d52c97f5eaa8b2b5286b,23275cff27eb5b512c01f0a49522c5bc1e4e3bdce4bd30f305eb4f9f47f1dcbc,mean,0.05,normalized_interval_score,1.591714149595045,1.3453141495950454,1.879714149595045,2000,0.95,125.0,100,True,20,20,20,20,20,1.0,0.0,max_statistic,finite_observed_order_statistic,1
C02,FD001,primary,37,C02_319975dc35d2_seed_37,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,536c1461374bad8862ab1d77b3e674813d9dbb273d08748a9a6f617ca477a771,f5b5f73097f0a2ac483a61053269a371a64483c489b1d52c97f5eaa8b2b5286b,23275cff27eb5b512c01f0a49522c5bc1e4e3bdce4bd30f305eb4f9f47f1dcbc,ridge,0.1,coverage,0.94,0.89,0.98,2000,0.95,125.0,100,True,20,19,19,19,19,1.0,0.0,interior,finite_observed_order_statistic,1
C02,FD001,primary,37,C02_319975dc35d2_seed_37,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,536c1461374bad8862ab1d77b3e674813d9dbb273d08748a9a6f617ca477a771,f5b5f73097f0a2ac483a61053269a371a64483c489b1d52c97f5eaa8b2b5286b,23275cff27eb5b512c01f0a49522c5bc1e4e3bdce4bd30f305eb4f9f47f1dcbc,ridge,0.1,mean_width,73.07232912978932,73.07232912978932,73.07232912978934,2000,0.95,125.0,100,True,20,19,19,19,19,1.0,0.0,interior,finite_observed_order_statistic,1
C02,FD001,primary,37,C02_319975dc35d2_seed_37,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,536c1461374bad8862ab1d77b3e674813d9dbb273d08748a9a6f617ca477a771,f5b5f73097f0a2ac483a61053269a371a64483c489b1d52c97f5eaa8b2b5286b,23275cff27eb5b512c01f0a49522c5bc1e4e3bdce4bd30f305eb4f9f47f1dcbc,ridge,0.1,normalized_interval_score,0.6222609758603321,0.5874050731127795,0.6801387430183536,2000,0.95,125.0,100,True,20,19,19,19,19,1.0,0.0,interior,finite_observed_order_statistic,1
C02,FD001,primary,37,C02_319975dc35d2_seed_37,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,536c1461374bad8862ab1d77b3e674813d9dbb273d08748a9a6f617ca477a771,f5b5f73097f0a2ac483a61053269a371a64483c489b1d52c97f5eaa8b2b5286b,23275cff27eb5b512c01f0a49522c5bc1e4e3bdce4bd30f305eb4f9f47f1dcbc,ridge,0.05,coverage,0.96,0.92,0.99,2000,0.95,125.0,100,True,20,20,20,20,20,1.0,0.0,max_statistic,finite_observed_order_statistic,1
C02,FD001,primary,37,C02_319975dc35d2_seed_37,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,536c1461374bad8862ab1d77b3e674813d9dbb273d08748a9a6f617ca477a771,f5b5f73097f0a2ac483a61053269a371a64483c489b1d52c97f5eaa8b2b5286b,23275cff27eb5b512c01f0a49522c5bc1e4e3bdce4bd30f305eb4f9f47f1dcbc,ridge,0.05,mean_width,73.959225391545,73.95922539154499,73.959225391545,2000,0.95,125.0,100,True,20,20,20,20,20,1.0,0.0,max_statistic,finite_observed_order_statistic,1
C02,FD001,primary,37,C02_319975dc35d2_seed_37,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,536c1461374bad8862ab1d77b3e674813d9dbb273d08748a9a6f617ca477a771,f5b5f73097f0a2ac483a61053269a371a64483c489b1d52c97f5eaa8b2b5286b,23275cff27eb5b512c01f0a49522c5bc1e4e3bdce4bd30f305eb4f9f47f1dcbc,ridge,0.05,normalized_interval_score,0.6605011959439056,0.5958082479843266,0.7721530252511272,2000,0.95,125.0,100,True,20,20,20,20,20,1.0,0.0,max_statistic,finite_observed_order_statistic,1
C02,FD001,primary,37,C02_319975dc35d2_seed_37,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,536c1461374bad8862ab1d77b3e674813d9dbb273d08748a9a6f617ca477a771,f5b5f73097f0a2ac483a61053269a371a64483c489b1d52c97f5eaa8b2b5286b,23275cff27eb5b512c01f0a49522c5bc1e4e3bdce4bd30f305eb4f9f47f1dcbc,hist_gradient_boosting,0.1,coverage,0.95,0.9,0.99,2000,0.95,125.0,100,True,20,19,19,19,19,1.0,0.0,interior,finite_observed_order_statistic,1
C02,FD001,primary,37,C02_319975dc35d2_seed_37,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,536c1461374bad8862ab1d77b3e674813d9dbb273d08748a9a6f617ca477a771,f5b5f73097f0a2ac483a61053269a371a64483c489b1d52c97f5eaa8b2b5286b,23275cff27eb5b512c01f0a49522c5bc1e4e3bdce4bd30f305eb4f9f47f1dcbc,hist_gradient_boosting,0.1,mean_width,68.0825716839339,68.0825716839339,68.0825716839339,2000,0.95,125.0,100,True,20,19,19,19,19,1.0,0.0,interior,finite_observed_order_statistic,1
